a,b,c,a2,b2,c2,abc
0,0,0,0,0,0,0
0,0,1,0,0,1,1
0,0,2,0,0,4,4
0,0,3,0,0,9,9
0,0,4,0,0,16,16
0,0,5,0,0,25,25
0,0,6,0,0,36,36
0,0,7,0,0,49,49
0,0,8,0,0,64,64
0,0,9,0,0,81,81
0,0,10,0,0,100,100
0,0,11,0,0,121,121
0,0,12,0,0,144,144
0,0,13,0,0,169,169
0,0,14,0,0,196,196
0,0,15,0,0,225,225
0,0,16,0,0,256,256
0,0,17,0,0,289,289
0,0,18,0,0,324,324
0,0,19,0,0,361,361
0,0,20,0,0,400,400
0,0,21,0,0,441,441
0,0,22,0,0,484,484
0,0,23,0,0,529,529
0,0,24,0,0,576,576
0,0,25,0,0,625,625
0,0,26,0,0,676,676
0,0,27,0,0,729,729
0,0,28,0,0,784,784
0,0,29,0,0,841,841
0,0,30,0,0,900,900
0,0,31,0,0,961,961
0,0,32,0,0,1024,1024
0,0,33,0,0,1089,1089
0,0,34,0,0,1156,1156
0,0,35,0,0,1225,1225
0,0,36,0,0,1296,1296
0,0,37,0,0,1369,1369
0,0,38,0,0,1444,1444
0,0,39,0,0,1521,1521
0,0,40,0,0,1600,1600
0,0,41,0,0,1681,1681
0,0,42,0,0,1764,1764
0,0,43,0,0,1849,1849
0,0,44,0,0,1936,1936
0,0,45,0,0,2025,2025
0,0,46,0,0,2116,2116
0,0,47,0,0,2209,2209
0,0,48,0,0,2304,2304
0,0,49,0,0,2401,2401
0,0,50,0,0,2500,2500
0,0,51,0,0,2601,2601
0,0,52,0,0,2704,2704
0,0,53,0,0,2809,2809
0,0,54,0,0,2916,2916
0,0,55,0,0,3025,3025
0,0,56,0,0,3136,3136
0,0,57,0,0,3249,3249
0,0,58,0,0,3364,3364
0,0,59,0,0,3481,3481
0,0,60,0,0,3600,3600
0,0,61,0,0,3721,3721
0,0,62,0,0,3844,3844
0,0,63,0,0,3969,3969
0,0,64,0,0,4096,4096
0,0,65,0,0,4225,4225
0,0,66,0,0,4356,4356
0,0,67,0,0,4489,4489
0,0,68,0,0,4624,4624
0,0,69,0,0,4761,4761
0,0,70,0,0,4900,4900
0,0,71,0,0,5041,5041
0,0,72,0,0,5184,5184
0,0,73,0,0,5329,5329
0,0,74,0,0,5476,5476
0,0,75,0,0,5625,5625
0,0,76,0,0,5776,5776
0,0,77,0,0,5929,5929
0,0,78,0,0,6084,6084
0,0,79,0,0,6241,6241
0,0,80,0,0,6400,6400
0,0,81,0,0,6561,6561
0,0,82,0,0,6724,6724
0,0,83,0,0,6889,6889
0,0,84,0,0,7056,7056
0,0,85,0,0,7225,7225
0,0,86,0,0,7396,7396
0,0,87,0,0,7569,7569
0,0,88,0,0,7744,7744
0,0,89,0,0,7921,7921
0,0,90,0,0,8100,8100
0,0,91,0,0,8281,8281
0,0,92,0,0,8464,8464
0,0,93,0,0,8649,8649
0,0,94,0,0,8836,8836
0,0,95,0,0,9025,9025
0,0,96,0,0,9216,9216
0,0,97,0,0,9409,9409
0,0,98,0,0,9604,9604
0,0,99,0,0,9801,9801
0,3,4,0,9,16,25
0,5,12,0,25,144,169
0,6,8,0,36,64,100
0,7,24,0,49,576,625
0,8,15,0,64,225,289
0,9,12,0,81,144,225
0,9,40,0,81,1600,1681
0,10,24,0,100,576,676
0,11,60,0,121,3600,3721
0,12,16,0,144,256,400
0,12,35,0,144,1225,1369
0,13,84,0,169,7056,7225
0,14,48,0,196,2304,2500
0,15,20,0,225,400,625
0,15,36,0,225,1296,1521
0,16,30,0,256,900,1156
0,16,63,0,256,3969,4225
0,18,24,0,324,576,900
0,18,80,0,324,6400,6724
0,20,21,0,400,441,841
0,20,48,0,400,2304,2704
0,20,99,0,400,9801,10201
0,21,28,0,441,784,1225
0,21,72,0,441,5184,5625
0,24,32,0,576,1024,1600
0,24,45,0,576,2025,2601
0,24,70,0,576,4900,5476
0,25,60,0,625,3600,4225
0,27,36,0,729,1296,2025
0,28,45,0,784,2025,2809
0,28,96,0,784,9216,10000
0,30,40,0,900,1600,2500
0,30,72,0,900,5184,6084
0,32,60,0,1024,3600,4624
0,33,44,0,1089,1936,3025
0,33,56,0,1089,3136,4225
0,35,84,0,1225,7056,8281
0,36,48,0,1296,2304,3600
0,36,77,0,1296,5929,7225
0,39,52,0,1521,2704,4225
0,39,80,0,1521,6400,7921
0,40,42,0,1600,1764,3364
0,40,75,0,1600,5625,7225
0,40,96,0,1600,9216,10816
0,42,56,0,1764,3136,4900
0,45,60,0,2025,3600,5625
0,48,55,0,2304,3025,5329
0,48,64,0,2304,4096,6400
0,48,90,0,2304,8100,10404
0,51,68,0,2601,4624,7225
0,54,72,0,2916,5184,8100
0,56,90,0,3136,8100,11236
0,57,76,0,3249,5776,9025
0,60,63,0,3600,3969,7569
0,60,80,0,3600,6400,10000
0,60,91,0,3600,8281,11881
0,63,84,0,3969,7056,11025
0,65,72,0,4225,5184,9409
0,66,88,0,4356,7744,12100
0,69,92,0,4761,8464,13225
0,72,96,0,5184,9216,14400
0,80,84,0,6400,7056,13456
